date, pm25
01-01-20,74
02-01-20,93
03-01-20,102
04-01-20,121
05-01-20,130
06-01-20,135
07-01-20,139
08-01-20,149
09-01-20,140
10-01-20,180
11-01-20,138
12-01-20,120
13-01-20,116
14-01-20,112
15-01-20,122
16-01-20,127
17-01-20,143
18-01-20,162
19-01-20,159
20-01-20,163
21-01-20,147
22-01-20,124
23-01-20,115
24-01-20,84
25-01-20,69
26-01-20,62
27-01-20,81
28-01-20,101
29-01-20,104
30-01-20,110
31-01-20,138
01-02-20,161
02-02-20,162
03-02-20,159
04-02-20,145
05-02-20,109
06-02-20,91
07-02-20,108
08-02-20,118
09-02-20,138
10-02-20,138
11-02-20,154
12-02-20,126
13-02-20,58
14-02-20,55
15-02-20,75
16-02-20,58
17-02-20,73
18-02-20,118
19-02-20,149
20-02-20,167
21-02-20,154
22-02-20,150
23-02-20,151
24-02-20,166
25-02-20,164
26-02-20,145
27-02-20,140
28-02-20,104
29-02-20,96
01-03-20,91
02-03-20,91
03-03-20,66
04-03-20,56
05-03-20,63
06-03-20,61
07-03-20,63
08-03-20,75
09-03-20,119
10-03-20,107
11-03-20,111
12-03-20,94
13-03-20,80
14-03-20,72
15-03-20,81
16-03-20,109
17-03-20,79
18-03-20,84
19-03-20,75
20-03-20,75
21-03-20,79
22-03-20,69
23-03-20,65
24-03-20,61
25-03-20,70
26-03-20,59
27-03-20,59
28-03-20,81
29-03-20,72
01-04-20,73
02-04-20,62
03-04-20,54
04-04-20,62
05-04-20,63
06-04-20,61
07-04-20,74
08-04-20,70
09-04-20,61
10-04-20,69
11-04-20,73
12-04-20,68
13-04-20,89
14-04-20,110
15-04-20,90
16-04-20,69
17-04-20,56
18-04-20,53
19-04-20,57
20-04-20,60
21-04-20,53
22-04-20,68
23-04-20,70
24-04-20,72
25-04-20,75
26-04-20,90
27-04-20,114
28-04-20,97
29-04-20,108
30-04-20,87
01-05-20,62
02-05-20,60
03-05-20,58
04-05-20,68
05-05-20,70
06-05-20,65
07-05-20,56
08-05-20,52
09-05-20,37
10-05-20,34
11-05-20,49
12-05-20,76
13-05-20,57
14-05-20,54
15-05-20,53
16-05-20,58
17-05-20,57
18-05-20,55
19-05-20,49
20-05-20,56
21-05-20,61
22-05-20,85
23-05-20,85
24-05-20,87
25-05-20,91
26-05-20,92
27-05-20,53
28-05-20,50
29-05-20,54
30-05-20,42
31-05-20,47
01-06-20,48
02-06-20,43
03-06-20,48
04-06-20,53
05-06-20,48
06-06-20,39
07-06-20,32
08-06-20,34
09-06-20,45
10-06-20,40
11-06-20,54
12-06-20,46
13-06-20,47
14-06-20,52
15-06-20,42
16-06-20,42
17-06-20,49
18-06-20,61
19-06-20,59
20-06-20,52
21-06-20,52
22-06-20,60
23-06-20,60
24-06-20,61
25-06-20,54
26-06-20,48
27-06-20,54
28-06-20,50
29-06-20,48
30-06-20,48
01-07-20,46
02-07-20,46
03-07-20,55
04-07-20,60
05-07-20,55
06-07-20,50
07-07-20,53
08-07-20,47
09-07-20,50
10-07-20,53
11-07-20,50
12-07-20,50
13-07-20,42
14-07-20,53
15-07-20,57
16-07-20,51
17-07-20,53
18-07-20,65
19-07-20,42
20-07-20,61
21-07-20,60
22-07-20,63
23-07-20,56
24-07-20,58
25-07-20,59
26-07-20,51
27-07-20,40
28-07-20,44
29-07-20,49
30-07-20,48
31-07-20,43
01-08-20,41
02-08-20,32
03-08-20,37
04-08-20,44
05-08-20,48
06-08-20,57
07-08-20,57
08-08-20,49
09-08-20,42
10-08-20,42
11-08-20,45
12-08-20,41
13-08-20,51
14-08-20,56
15-08-20,61
16-08-20,57
17-08-20,63
18-08-20,73
19-08-20,65
20-08-20,76
21-08-20,60
22-08-20,55
23-08-20,52
24-08-20,58
25-08-20,57
26-08-20,53
27-08-20,51
28-08-20,60
29-08-20,62
30-08-20,68
31-08-20,52
01-09-20,52
02-09-20,71
03-09-20,63
04-09-20,60
05-09-20,54
06-09-20,44
07-09-20,40
08-09-20,50
09-09-20,67
10-09-20,57
11-09-20,41
12-09-20,42
13-09-20,44
14-09-20,39
15-09-20,47
16-09-20,52
17-09-20,50
18-09-20,50
19-09-20,39
20-09-20,26
21-09-20,55
22-09-20,62
23-09-20,77
24-09-20,37
25-09-20,46
26-09-20,83
27-09-20,49
28-09-20,49
29-09-20,38
30-09-20,57
01-10-20,56
02-10-20,48
03-10-20,57
04-10-20,43
05-10-20,58
06-10-20,68
07-10-20,67
08-10-20,57
09-10-20,53
10-10-20,52
11-10-20,58
12-10-20,77
13-10-20,69
14-10-20,63
15-10-20,79
16-10-20,49
17-10-20,46
18-10-20,42
19-10-20,71
20-10-20,67
21-10-20,65
22-10-20,75
23-10-20,83
24-10-20,99
25-10-20,128
26-10-20,116
27-10-20,82
28-10-20,94
29-10-20,76
30-10-20,57
31-10-20,58
01-11-20,56
02-11-20,77
03-11-20,79
04-11-20,94
05-11-20,85
06-11-20,94
07-11-20,74
08-11-20,103
09-11-20,102
10-11-20,108
11-11-20,101
12-11-20,87
13-11-20,106
14-11-20,120
15-11-20,138
16-11-20,77
17-11-20,89
18-11-20,100
19-11-20,119
20-11-20,107
21-11-20,80
22-11-20,77
23-11-20,92
24-11-20,72
25-11-20,73
26-11-20,67
27-11-20,59
28-11-20,71
29-11-20,71
30-11-20,60
01-12-20,66
02-12-20,67
03-12-20,68
04-12-20,80
05-12-20,83
06-12-20,91
07-12-20,109
08-12-20,104
09-12-20,103
10-12-20,132
11-12-20,148
12-12-20,140
13-12-20,143
14-12-20,161
15-12-20,149
16-12-20,107
17-12-20,83
18-12-20,93
19-12-20,79
20-12-20,81
21-12-20,88
22-12-20,116
23-12-20,128
24-12-20,138
25-12-20,120
26-12-20,106
27-12-20,101
28-12-20,81
29-12-20,105
30-12-20,98
31-12-20,76
01-01-21,82
02-01-21,93
03-01-21,130
04-01-21,119
05-01-21,108
06-01-21,116
07-01-21,100
08-01-21,87
09-01-21,74
10-01-21,89
11-01-21,97
12-01-21,96
13-01-21,143
14-01-21,168
15-01-21,180
16-01-21,167
17-01-21,134
18-01-21,101
19-01-21,149
20-01-21,169
21-01-21,170
22-01-21,187
23-01-21,165
24-01-21,105
25-01-21,90
26-01-21,95
27-01-21,110
28-01-21,110
29-01-21,120
30-01-21,131
31-01-21,138
01-02-21,159
02-02-21,149
03-02-21,150
04-02-21,142
05-02-21,141
06-02-21,139
07-02-21,160
08-02-21,111
09-02-21,114
10-02-21,107
11-02-21,98
12-02-21,123
13-02-21,121
14-02-21,95
15-02-21,93
16-02-21,93
17-02-21,107
18-02-21,131
19-02-21,121
20-02-21,128
21-02-21,154
22-02-21,147
23-02-21,125
24-02-21,129
25-02-21,141
26-02-21,143
27-02-21,142
28-02-21,126
01-03-21,83
02-03-21,67
03-03-21,58
04-03-21,74
05-03-21,71
06-03-21,80
07-03-21,77
08-03-21,86
09-03-21,89
10-03-21,105
11-03-21,120
12-03-21,104
13-03-21,94
14-03-21,88
15-03-21,86
16-03-21,93
17-03-21,104
18-03-21,121
19-03-21,104
20-03-21,103
21-03-21,84
22-03-21,117
23-03-21,119
24-03-21,140
25-03-21,119
26-03-21,73
27-03-21,62
28-03-21,71
29-03-21,70
30-03-21,75
31-03-21,93
01-04-21,79
02-04-21,47
03-04-21,55
04-04-21,59
05-04-21,91
06-04-21,86
07-04-21,89
08-04-21,86
09-04-21,74
10-04-21,90
11-04-21,85
12-04-21,86
13-04-21,70
14-04-21,61
15-04-21,74
16-04-21,66
17-04-21,64
18-04-21,61
19-04-21,47
20-04-21,51
21-04-21,58
22-04-21,83
23-04-21,77
24-04-21,75
25-04-21,84
26-04-21,79
27-04-21,66
28-04-21,82
29-04-21,62
30-04-21,67
01-05-21,70
02-05-21,73
03-05-21,69
04-05-21,80
05-05-21,90
06-05-21,69
07-05-21,48
08-05-21,83
09-05-21,71
10-05-21,67
11-05-21,62
12-05-21,59
13-05-21,61
14-05-21,50
15-05-21,53
16-05-21,46
17-05-21,56
18-05-21,45
19-05-21,54
20-05-21,48
21-05-21,43
22-05-21,49
23-05-21,44
24-05-21,48
25-05-21,43
26-05-21,56
27-05-21,66
28-05-21,49
29-05-21,45
30-05-21,36
31-05-21,47
01-06-21,58
02-06-21,60
03-06-21,53
04-06-21,55
05-06-21,56
06-06-21,49
07-06-21,45
08-06-21,46
09-06-21,35
10-06-21,29
11-06-21,51
12-06-21,72
13-06-21,61
14-06-21,51
15-06-21,62
16-06-21,46
17-06-21,46
18-06-21,50
19-06-21,50
20-06-21,45
21-06-21,74
22-06-21,94
23-06-21,68
24-06-21,46
25-06-21,67
26-06-21,54
27-06-21,36
28-06-21,48
29-06-21,61
30-06-21,49
01-07-21,47
02-07-21,44
03-07-21,47
04-07-21,42
05-07-21,41
06-07-21,43
07-07-21,42
08-07-21,51
09-07-21,48
10-07-21,47
11-07-21,34
12-07-21,33
13-07-21,54
14-07-21,67
15-07-21,53
16-07-21,50
17-07-21,54
18-07-21,43
19-07-21,31
20-07-21,35
21-07-21,36
22-07-21,55
23-07-21,51
24-07-21,56
25-07-21,44
26-07-21,48
27-07-21,40
28-07-21,45
29-07-21,44
30-07-21,53
31-07-21,61
01-08-21,52
02-08-21,42
03-08-21,40
04-08-21,52
05-08-21,60
06-08-21,53
07-08-21,54
08-08-21,57
09-08-21,56
10-08-21,56
11-08-21,42
12-08-21,33
13-08-21,37
14-08-21,43
15-08-21,37
16-08-21,32
17-08-21,60
18-08-21,54
19-08-21,49
20-08-21,61
21-08-21,55
22-08-21,55
23-08-21,42
24-08-21,45
25-08-21,51
26-08-21,36
27-08-21,52
28-08-21,42
29-08-21,33
30-08-21,50
31-08-21,61
01-09-21,62
02-09-21,45
03-09-21,39
04-09-21,45
05-09-21,53
06-09-21,59
07-09-21,58
08-09-21,53
09-09-21,62
10-09-21,44
11-09-21,47
12-09-21,46
13-09-21,45
14-09-21,53
15-09-21,50
16-09-21,37
17-09-21,44
18-09-21,59
19-09-21,52
20-09-21,54
21-09-21,33
22-09-21,23
23-09-21,18
24-09-21,30
25-09-21,19
26-09-21,25
27-09-21,35
28-09-21,66
29-09-21,98
30-09-21,79
01-10-21,58
02-10-21,57
03-10-21,72
04-10-21,73
05-10-21,83
06-10-21,64
07-10-21,69
08-10-21,100
09-10-21,54
10-10-21,48
11-10-21,43
12-10-21,47
13-10-21,39
14-10-21,49
15-10-21,57
16-10-21,57
17-10-21,38
18-10-21,48
19-10-21,72
20-10-21,87
21-10-21,97
22-10-21,75
23-10-21,58
24-10-21,56
25-10-21,64
26-10-21,80
27-10-21,86
28-10-21,92
29-10-21,76
30-10-21,90
31-10-21,61
01-11-21,62
02-11-21,69
03-11-21,66
04-11-21,67
05-11-21,71
06-11-21,81
07-11-21,72
08-11-21,71
09-11-21,61
10-11-21,74
11-11-21,88
12-11-21,81
13-11-21,84
14-11-21,90
15-11-21,92
16-11-21,69
17-11-21,55
18-11-21,63
19-11-21,70
20-11-21,79
21-11-21,79
22-11-21,83
23-11-21,58
24-11-21,59
25-11-21,81
26-11-21,89
27-11-21,88
28-11-21,96
29-11-21,87
30-11-21,94
01-12-21,105
02-12-21,105
03-12-21,102
04-12-21,103
05-12-21,109
06-12-21,111
07-12-21,126
08-12-21,122
09-12-21,100
10-12-21,96
11-12-21,98
12-12-21,81
13-12-21,79
14-12-21,123
15-12-21,129
16-12-21,131
17-12-21,117
18-12-21,90
19-12-21,87
20-12-21,128
21-12-21,159
22-12-21,166
23-12-21,146
24-12-21,131
25-12-21,78
26-12-21,74
27-12-21,89
28-12-21,62
29-12-21,64
30-12-21,70
31-12-21,69
01-01-22,75
02-01-22,75
03-01-22,82
04-01-22,101
05-01-22,112
06-01-22,113
07-01-22,129
08-01-22,103
09-01-22,117
10-01-22,117
11-01-22,104
12-01-22,99
13-01-22,94
14-01-22,85
15-01-22,94
16-01-22,101
17-01-22,120
18-01-22,110
19-01-22,85
20-01-22,102
21-01-22,67
22-01-22,57
23-01-22,64
24-01-22,74
25-01-22,82
26-01-22,81
27-01-22,87
28-01-22,83
29-01-22,86
30-01-22,78
31-01-22,76
01-02-22,68
02-02-22,58
03-02-22,66
04-02-22,73
05-02-22,94
06-02-22,112
07-02-22,147
08-02-22,145
09-02-22,95
